"ASV","Domain","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"b2282677ff1ba19e9700383f454417bd","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA,72.9429429639073,-5.89987634413708,0.801057570808446,-7.36510902478931,1.77002149092069e-13,7.25000802681116e-11
"4bc36dab60f949fc7cebe06fef2f576c","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella.1",NA,55.6857453356003,-5.16023058033839,0.752157665157414,-6.86057035562942,6.85861542895893e-12,2.02364572443347e-09
"4c8288bfbd76958c0c094d87b97650f8","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia-Shigella",NA,79.5729549846953,-5.05510725146855,0.671167816708516,-7.53180817915164,5.00424375517793e-14,2.5621728026511e-11
"a55f549b9a40506a070a2fb7e8ca0726","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella.2",NA,426.478517332276,-4.33791691791279,0.831936554693298,-5.21424006847735,1.84572310199696e-07,1.51201636515591e-05
"b8987c5d3c76dafe8b6470c5cccaba7c","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio","s__Butyrivibrio_crossotus",9.24429794216658,-4.30799364561906,0.628045598599097,-6.8593644398247,6.9167578471847e-12,2.02364572443347e-09
"959a41695798ad7798d39740d7e9ae19","d__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Gastranaerophilales","f__Gastranaerophilales","g__Gastranaerophilales","s__Acinetobacter_sp.",14.315666562997,-4.16075748129881,0.623098608462281,-6.67752651794066,2.43008650493169e-11,6.22102145262513e-09
"d09403349a5dd3a0f4c6bea754072bc5","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_UCG-001","s__Lachnospiraceae_bacterium",7.30389902475083,-3.73816266947941,0.597997102891077,-6.2511384276059,4.07471512157594e-10,5.77872602785434e-08
"4a1f301649918dd9d49bc2f8e45d16d1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014",NA,21.9255229930161,-3.53581403162823,0.683271972369372,-5.17482667899745,2.28122645057745e-07,1.66855420385094e-05
"f79c39dd1f3a72f10efc90cc5a84ddc2","d__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__uncultured","g__uncultured","s__gut_metagenome",6.50808586314932,-3.39651594859826,0.593843097644863,-5.71955111050139,1.06805844035218e-08,1.1512545714954e-06
"c9e24997e9c1c0ac6126d776c165fd71","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__[Eubacterium]_siraeum_group",NA,13.5817655723584,-3.34428497609285,0.609439661915909,-5.48747511046351,4.07719442666852e-08,4.17504709290856e-06
"f3270b7f9b020567e59ec30f7d15fc14","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Paraprevotella",NA,8.89427458325464,-3.32729798197849,0.626849364903994,-5.30797057198595,1.10852533537414e-07,1.03193631220283e-05
"d98a07aa2bb491ff3f01d30c9e070d45","d__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_UCG-014","f__Clostridia_UCG-014","g__Clostridia_UCG-014.1",NA,8.46817539301354,-3.3187052414761,0.613755987366212,-5.40720629988074,6.40153943650543e-08,6.2430251266491e-06
"11723b1b2eec07f4b069bbfe627c577f","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group",NA,20.0628201304137,-3.02392815545899,0.642772656765372,-4.70450652128906,2.54480733002742e-06,0.000124089652664194
"302453da7fdf3d0fc7c898a56d1902cc","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Barnesiella",NA,21.6790016514764,-2.92945563460856,0.625877581311987,-4.6805569045431,2.8609668460757e-06,0.000136261862808443
"6512f2744185dfe0fbe40a4071c934f1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__CAG-352",NA,5.84888863224423,-2.85586150215358,0.593348525966763,-4.81312647992246,1.48587182624865e-06,8.45295972265898e-05
"60d2ab0107799b3a17437167410f84b1","d__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA,12.5482311169128,-2.74351602111639,0.586818808872343,-4.67523531903902,2.93616743901901e-06,0.000136665248070703
"2b610e1280e512b310266e489f8f3298","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__Bacteroides_plebeius",6.69832031544765,-2.73585393084171,0.633573232578065,-4.3181337060426,1.57354100734985e-05,0.000537101997175416
"5f97af5aa24f9a906200f4e7605385a3","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-003",NA,3.82206955119383,-2.72466777811802,0.536756920986484,-5.07616701636648,3.85124799519341e-07,2.62911863138537e-05
"cc5922fea88980708bcc80d6af5f149c","d__Bacteria","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__uncultured_Firmicutes",4.22734077982187,-2.68631339687044,0.568259064217011,-4.72726889200059,2.27559833320237e-06,0.000113668911863377
"6a08495bbcbe5c4cd59981b307712775","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,6.74945288915253,-2.65890093234511,0.609225967109639,-4.36439199228453,1.27476813216505e-05,0.000489665608330537
"57c18ce14b86bd1489636232fd65b069","d__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella.1",NA,3.68660660535768,-2.64180820258156,0.532421560183304,-4.96187307229262,6.98166155289145e-07,4.20542437068285e-05
"57188cc28844564b611d3dd0d6e30de7","d__Bacteria","p__Firmicutes","c__Bacilli","o__Izemoplasmatales","f__Izemoplasmatales","g__Izemoplasmatales","s__uncultured_organism",8.4745785843688,-2.63045389680464,0.606477333134813,-4.33726662661591,1.44265580943542e-05,0.000512541064140573
"fc732db4b74c2aebe3642944be87e061","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella.3","s__Prevotellaceae_bacterium",2.78486253933264,-2.53249946670698,0.489279756972486,-5.17597433905158,2.2672462003874e-07,1.66855420385094e-05
"77be5efca77e4204775e4e828a1580db","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Barnesiellaceae","g__Coprobacter",NA,4.44400051245819,-2.52027092969045,0.504606733845521,-4.99452496498392,5.89807620450371e-07,3.89653550542697e-05
"13c4bed1b240f8bfd6d7192c075e1076","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,5.39700299372289,-2.5106897469802,0.583431356259866,-4.30331643995821,1.68260259520289e-05,0.000564913133602543
"3ed53383c5ab67b0118a4820c9fbb8bc","d__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__NK4A214_group.1",NA,13.7284916624197,-2.4769865533133,0.631983626342496,-3.91938406323666,8.87755526029041e-05,0.00221722355769204
